名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
トシ,三浦 敏和（みうら としかず）,トシくん,1976/7/17,,北海道旭川市,A型,176cm,共通語,北海道札幌南陵高等学校,志村けん,札幌吉本のオーディション,2004/4/1,,,,481,81
トニーフランク,久間隆司,,1990/3/20,,兵庫県尼崎市,AB型,174 cm,,,,NSC大阪校34期,2009/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=5240,https://www.youtube.com/user/umatosakana,,33
トニー谷,大谷 正太郎,,1917/10/14,1987/7/16,,,,,,,,2019/1/13,,,,,29
とにかく明るい安村,安村 昇剛（やすむら しょうごう）,ヤス、トニー,1982/3/15,,北海道旭川市,B型,177cm,共通語,旭川実業高等学校,,NSC東京校6期,1985/1/1,1990/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=428,https://www.youtube.com/user/yasumurashogo,281,81
トミーズ雅,,,,,大阪府大阪市生野区,,,,,西川のりお（トミーズ健が付き人修行）,NSC大阪校1期,2004/1/1,2018/1/1,,,164,64
トミーズ健,,,,,大阪府大阪市生野区,,,,,西川のりお（トミーズ健が付き人修行）,NSC大阪校1期,2007/1/1,2015/1/1,,,163,63
トミドコロ,冨所 大輔（とみどころ だいすけ）,,1982/5/9,,千葉県松戸市,AB型,174cm,,,,,2012/1/11,,https://grapecom.jp/talent_writer/tomidokoro/,,,65
トモ (お笑い芸人),,,,,日本,,,,,,,1957/1/1,,http://www.tetsu-tomo.com/,,172,72
ドロンズ石本,石本 武士（いしもと たけし）,,1973/10/11,,,A型,175cm,,,,広島県広島市,2014/1/1,,https://www.maseki.co.jp/talent/doronzishimoto,,456,56
どんぐり (女優),竹原 芳子,,1960/2/10,,大阪府,B型,147 cm,,,,,2000/1/1,2008/1/18,,,,29
どんぐりたけし,大野 剛史（おおの たけし）,どんちゃん、DTKC,1992/8/27,,茨城県牛久市,,169cm,共通語,専門学校東京アナウンス学院,,,1998/1/1,,http://www.kdashstage.jp/profile/archives/20,,,22
とんこっちゃんふじ子,藤山なおこ,ふじこちゃん,1989/3/9,,福岡県,,,標準語,,,,2005/1/1,,https://www.watanabepro.co.jp/mypage/80000021/,https://www.youtube.com/https://m.youtube.com/user/hao08526425,,61
トンペー (お笑い芸人),潮 太一 （うしお たいち）,,1990/6/27,,大阪府堺市,A型,181cm,,大阪府立和泉総合高等学校卒業,,NSC大阪校32期,2007/1/17,2015/1/15,,,,91
なおき (お笑いタレント),井上 文夫,,1966/3/13,,大阪府豊中市,A型,170cm,,日生学園第一高等学校,中田カウス（現在は破門）,,1954/1/1,1974/10/1,http://www.keyword.co.jp/profile/418,,221,21
ナオユキ,木藤 直之（きとう なおゆき）,,1966/12/29,,大阪府大阪市,O型,162cm,,,笑福亭鶴光,,2000/1/17,,http://www1.odn.ne.jp/wisecracker/,,272,72
なかざわゆうき,,,,,,,,,,かんちゃま,東京都八王子市,2020/1/1,,,,173,73
なかし,中島詩織（なかしましおり）,なかし,1993/7/7,,長野県木曽郡,A型,152cm,共通語,椙山女学園大学生活科学,,太田プロエンタテイメント学院名古屋校3期卒業,1981/1/1,,http://www.ohtapro.co.jp/jrlive/spadethree/,,,63
なかのよいこ,寺延 杉子（てらのぶ すぎこ）,,1975/5/11,,兵庫県,A型,156cm,主に近畿方言,,,,2006/1/14,2015/1/11,https://ameblo.jp/nakanoyoiko/,,141,41
なかむら摂,中村 摂,,1981/10/23,,長野県松本市,O型,161cm,,,,,2005/1/1,,https://www.shochikugeino.co.jp/talents/nakamurasetsu/,,,55
なかやまきんに君,中山 翔二（なかやま しょうじ）,むらた君 筋肉料理研究家マグマ中山 キャプテン☆ボンバー きんにく侍[要出典],1978/9/17,,福岡県福岡市東区,AB型,177 cm,共通語 （新喜劇出演時は大阪弁）,サンタモニカ市立大学運動生理学部,,NSC大阪校22期,2012/1/1,,,https://www.youtube.com/channel/UCOUu8YlbaPz0W2TyFTZHvjA,264,64
なすび (タレント),浜津 智明  （はまつ ともあき）,,1975/8/3,,福島県福島市,,,,,,,2009/1/1,2011/1/1,http://office-k-nasubi.jimdo.com/,,,42
なだぎ武,灘儀武,,1970/10/9,,大阪府堺市,A型,172 cm,大阪弁,,,NSC大阪校8期,1976/1/1,1985/1/1,,,254,54
ナダル (お笑い芸人),,,,,,,,,,,NSC大阪校33期,2005/1/11,,https://profile.yoshimoto.co.jp/talent/detail?id=5093,https://www.youtube.com/channel/UCYQ-KobYn4cxCB2T_n05zEw,,94
なっきー (お笑い芸人),小倉奈津紀（おぐら なつき）,,1968/8/11,,大阪府,,160cm,大阪弁,大阪ビジネス専門学校,,,2005/1/1,2013/1/1,http://www.tokyo-engeikyokai.com/nacky-.html,,,75
ナナちゃん (お笑い芸人),（非公開）,ななっぺぇ、ななちゃん、なな、セブン、ニャンコウーマン,1988/4/16,,兵庫県,AB型,154cm,,同志社大学大学院中退,,ワタナベコメディスクール15期,2009/1/1,,,,,51
ななみなな,,,,,長崎県佐世保市,B型,163cm,,,,,1985/1/11,1996/1/1,,,,64
ナベ,,,,,,,,,,,札幌吉本,2007/1/14,2017/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=227,,53,53
なべおさみ,渡辺 修三,なべちゃん,1939/5/2,,東京府東京市大森区 （現：東京都大田区）,,161cm,,明治大学文学部演劇学専攻,ハナ肇,,1984/1/1,1993/1/1,,https://www.youtube.com/channel/UCE3UmKm9a-9nWhN00L4AZ8w,37,37
なべやかん,渡辺 心,,1970/8/22,,東京都,,,,,ビートたけし,,1986/1/1,,,,310,10
ナポ,町田 啓（まちだ けい）,,1987/11/18,,東京都,A型,176cm,,立教大学現代心理学部,,太田プロエンタテイメント学院3期生,2009/1/1,2012/1/1,https://www.ohtapro.co.jp/talent/napo.html,,,68
なめたらいかんぜよ。MARI,山崎 真理（やまさき まり）,なめMARI、マリマリ、MARI、MARIちゃん、鉄仮面（鉄仮面はラッキィ池田限定ニックネーム）,1978/4/20,,高知県高知市,A型,162cm,,高知大学人文学部社会経済学科卒業,,NSC東京校14期,2007/1/1,2012/1/1,https://blogs.yahoo.co.jp/marimari_blog/,,,73
なるみ,井上 鳴美 (旧姓 新屋),なるなる,1972/7/8,,大阪府四條畷市,A型,155cm,大阪弁,大阪府立野崎高等学校,,NSC大阪校7期,2014/1/1,,,,259,59
にしおかすみこ,西岡 純子（にしおか すみこ）,,1974/11/18,,千葉県,A型,163.5cm,標準語,青山学院大学 経済学部,春風亭小朝（落語家として）,太田プロダクション直入,2017/1/15,2019/1/13,https://www.watanabepro.co.jp/mypage/40000021/,,412,12
ニシダ,,,,,,,,,,,上智大学お笑いサークルSCS,2007/1/1,2011/1/1,https://www.lalande.jp/,https://www.youtube.com/channel/UCuWdyc0Mp7zRZd6KSPguCsA,,91
にしね・ザ・タイガー,西根 緩之（にしね ひろゆき）,,1988/4/17,,三重県,A型,161cm,,,,松竹芸能養成所,2013/1/18,,https://www.shochikugeino.co.jp/talents/nishinethetiger/,,167,67
ニッチロー,今村 健太（いまむら けんた）,ニッチ,1978/9/23,,長野県飯田市,AB型,180 cm,飯田弁,長野県阿南高等学校,,,2008/1/1,,https://nicchiro.com/,,,93
ぬまっち (お笑い芸人),沼 豪（ぬま つよし）,,1972/2/22,,大阪府,A型,,,,,,2019/1/1,,https://www.shochikugeino.co.jp/talents/numacchi,,,98
ネゴシックス,根来川悟,,1978/6/28,,島根県安来市,A型,163cm,共通語、安来弁,米子商業高等学校,,NSC大阪校22期,2019/1/1,,http://negosix.com/,,339,39
ねづっち,根津 俊弘（ねづ としひろ）,,1975/2/18,,東京都日野市,O型,182cm,,東洋大学法学部卒業,Wエース,,2003/1/17,,http://www.ph-aun.net/talent_info/nezucchi-3/,https://www.youtube.com/channel/UCl-P_l0oiJ0a_30_s6c6KMA,75,75
ねんど大介,藤田 大介,,1973/10/15,,,A型,,,,,,2008/1/1,,,,,12
ノーパンチ松尾,,,,,,,,,,,東京都,2017/1/1,,https://web.archive.org/web/20080302173826/http://thepunch.laff.jp/blog/,,175,75
ノッチ (お笑い芸人),佐藤 望（さとう のぞむ）,,1965/7/26,,愛媛県新居浜市,A型,168cm,共通語,松山聖陵高等学校,,劇団東京ヴォードヴィルショー、劇団七曜日,2016/1/1,2020/1/1,https://ameblo.jp/nochyingmachin/,,220,20
ノブ (お笑い芸人),早川 信行（はやかわ のぶゆき）,,1979/12/30,,岡山県井原市,A型,173 cm,岡山弁、関西弁、標準語,岡山県立笠岡商業高等学校卒業,,事務所のオーディション,2016/1/17,1977/3/1,https://profile.yoshimoto.co.jp/talent/detail?id=6222,,271,71
のぶきよ,,,,,,,,,,,NSC東京校16期,2007/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3554,,,62
ノリ (お笑い芸人),,,,,,,,,,,NSC東京校16期,2011/1/1,2017/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6567,,,85
のり (お笑い芸人),,,,,,,,,,,NSC東京校5期（江波戸）,2006/1/17,2011/1/18,http://asaikikaku.co.jp/talent/profile/otenki,,385,85
パーティ内山,内山 義英（うちやま よしひで）,,,,新潟県上越市,A型,171cm,,法政大学卒業,,スクールJCA14期,2016/1/18,,https://grapecom.jp/talent_writer/party-uchiyama/,,170,70
バードフミヤ,非公表,バーフミ、バードさん,1985/1/18,,埼玉県深谷市,,167㎝,,埼玉県立深谷第一高等学校,,,2015/1/1,,,,,17
バービー (お笑い芸人),笹森 花菜（ささもり かな）,,1984/1/26,,北海道夕張郡栗山町,O型,159 cm,,東洋大学文学部インド哲学科卒業,,ワタナベコメディスクール2期,2012/1/1,,,https://www.youtube.com/channel/UClc8aGFxiMvMC46HqsMigsQ,160,60
パーマ大佐,國土 郁音,,1993/8/26,,埼玉県北本市,B型,172cm,埼玉弁,正智深谷高等学校,,,2016/1/18,,https://www.ohtapro.co.jp/talent/permtaisa.html,https://www.youtube.com/channel/UCT3yndcswJBxo3zRme_wTRA,,8
バーモント秀樹,今岡 正浩,,,,福岡県大牟田市,AB型,177cm,,,,,1923/1/1,1971/1/1,http://vermonthideki.com/,,,66
バイク川崎バイク,川崎 史貴（かわさき ふみたか）,BKB,1979/12/17,,兵庫県加古川市,O型,164 cm,播州弁,姫路理容美容専門学校卒,,NSC大阪校26期,2014/1/1,,,,54,54
はいじぃ,蓜島 朋岳（はいじま ともたけ）,,1975/8/26,,東京都町田市,A型,162cm,日本語,工学院大学,,NSC東京校3期,2016/5/1,2017/4/6,https://blogs.yahoo.co.jp/haijima_blog,https://www.youtube.com/user/haijimovie,,45
ハイヒールモモコ,,,,,,,,,,,NSC大阪校1期,2014/1/1,2016/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=247,,171,71
ハイヒールリンゴ,,,,,,,,,,,NSC大阪校1期,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=247,,172,72
バカリズム,升野 英知（ますの ひでとも）,バカリ、ヒデ、升野さん,1975/11/28,,福岡県田川市,A型,165cm,共通語 筑豊弁,日本映画学校,,日本映画学校俳優科,2011/1/1,,https://www.maseki.co.jp/talent/bakarhythm,https://www.youtube.com/channel/UCzOHCa6-FxSeO4wWUL6smLw,472,72
ハギノ・リザードマン,,,,,,,,,,,NSC大阪校25期（ハギノ） NSC大阪校26期（ムーラちゃん）,2006/1/1,2009/1/1,https://www.sunmusic-gp.co.jp/talent/rosehipfunnyfunny/,,,46
バケモン先生,浅井 優 （あさい まさる）,,1978/1/10,,愛知県名古屋市,B型,193cm,,中京大学卒業,,NSC東京校9期,2008/1/1,2017/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6559,,429,29
ハジメ,,,,,,,,,,,ワタナベコメディスクール1期（ハジメ） ワタナベコメディスクール2期（バービー）,2003/1/1,,https://www.watanabepro.co.jp/mypage/4000009/,,,19
はじめ (お笑い芸人),大井 肇 （おおい はじめ）,,1963/7/23,,,A型,,,,,,2017/1/1,,,,,44
パシンペロンはやぶさ,早房結香（はやぶさ ゆか）,,1980/4/15,,宮城県気仙沼市,B型,153cm,標準語,杏林大学外国語学部中国語学科,,,2006/1/1,2015/1/1,http://com.horipro.co.jp/talent/pasinperon_hayabusa/,,117,17
パソ・コン太郎,,,,,,,,,,,NSC東京校15期,1986/1/1,1990/1/1,https://web.archive.org/web/20111127044828/http://bkbkz.laff.jp/,,,92
はたけんじ,畠中 茂 （はたなか しげる）,,1948/2/21,,東京都江戸川区,A型,163 cm,,,,『しろうと芸能大賞』,2003/1/1,,http://hataken.d2.r-cms.jp/,,69,69
ハチミツ二郎,高野 二郎（たかの じろう）,,1974/11/20,,岡山県倉敷市,O型,177cm,共通語,,,NSC東京校1期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2803,,21,21
パッション屋良,屋良 朝苗（やら ちょうびょう）,,1976/7/23,,沖縄県名護市,A型,180cm,共通語,国士舘大学体育学部,,,2004/1/1,,http://www.office-passion.net/,,1,1
ばってん×ぶらぶら,末岡佳一郎,自称福岡の有名人,1979/5/26,,福岡県筑紫野市,B型,175cm,,福岡大学人文学部文化学科,,,2017/1/1,,,,,95
バッドナイス常田,常田 功（つねだ いさお）,バッツネ,1988/4/5,,富山県,B型,178cm,,,,NSC東京校13期 ワタナベコメディスクール10期,1952/1/1,,https://www.watanabepro.co.jp/mypage/40000067/,,,85
ハッピーマックスみしま,三島裕一,,1983/8/21,,愛知県名古屋市,A型,176cm,共通語,専門学校東京アナウンス学院,,,1937/1/1,1963/1/1,https://shu-pro.co.jp/talent/happymax/,,,87
ハッピー遠藤,,,1992/2/7,,神奈川県,A型,180cm,,,,松竹芸能タレントスクール 東京校 ,1943/1/1,1974/1/1,https://www.shochikugeino.co.jp/talents/happyendo/,,,21
バッファロー吾郎A,木村 明浩（きむら あきひろ）,バ吾A、A先生,1970/11/24,,兵庫県神戸市垂水区,O型,166.5cm,神戸弁,兵庫県立須磨東高等学校,,NSC大阪校8期,2017/1/1,,,,255,55
パトリック・ハーラン,,パックン,1970/11/14,,アメリカ合衆国・コロラド州コロラドスプリングス,O型,184cm,共通語,ハーバード大学比較宗教学専攻,,福井県のアマチュア劇団,1993/1/18,,http://www.havmercy.co.jp/pm/news.html,,130,30
はなわ,塙 尚輝（はなわ なおき）,,1976/7/20,,埼玉県春日部市生まれ 千葉県、佐賀県育ち,O型,175 cm,,専門学校東京アナウンス学院,,,2020/1/1,,http://www.kdashstage.jp/profile/archives/15,https://www.youtube.com/channel/UCLwK1tQzsFD8AUlYylNuwug,91,91
はな寛太,,,,,,,,,,藤山寛美（はな寛太） 曾我廼家十吾（いま寛大） 夢路いとし・喜味こいし,,2008/1/1,,,,73,73
ハナ肇,野々山 定夫,ハナちゃん、バンマス、リーダー,1930/2/9,1993/9/10,東京府北豊島郡長崎町 （現：東京都豊島区）,,,共通語、関東方言,"工学院工業学校土木科（中退）

平成2年10月13日、特選校友として学長より証書を頂き卒業を認められる",南里文雄,,2012/1/1,,,,21,21
パペットマペット,,,,,,,,,,,,2005/1/1,,http://www.puppetmuppet.com/index.html,https://www.youtube.com/channel/UC04ciJh8vja6lhY_ie40yAA,177,77
はまやねん,,,,,,,,,,,NSC大阪校36期,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=5755,,,87
ハリウッドザコシショウ,中澤 滋紀 （なかざわ しげき）,ザコシ ザコシショウ キング・オブ・あらびき 師匠,1974/2/13,,静岡県清水市（現静岡市清水区）,A型,170cm,共通語 静岡弁 関西弁,静岡県立清水工業高等学校（現・静岡県立科学技術高等学校）卒業,,NSC大阪校11期,1947/1/1,,https://www.sma.co.jp/s/sma/artist/382?ima=0000#/news/0,https://www.youtube.com/user/HollywoodZakoshisyoh,370,70
ハリウリサ,針生 りさ（はりう りさ）,,1993/7/25,,東京都大田区,O型,155cm,,東京アナウンス学院芸能バラエティ科,,,2017/1/1,,http://com.horipro.co.jp/talent/hariurisa/,,,64
はるはる,齋藤晴恵,,1989/1/29,,静岡県浜松市,,,,,,松竹芸能タレントスクール東京校(24期),2017/1/1,,https://www.shochikugeino.co.jp/talents/plankeikaku/,,,97
ハローケイスケ,山崎 圭介（やまざき けいすけ）,,1970/9/24,,大阪府豊中市,O型,177cm,標準語　大阪弁,,,銀座7丁目劇場,1994/1/1,2019/1/1,https://blogs.yahoo.co.jp/hello_keisuke_blog,,393,93
ハロー植田,植田 勝彦（うえだ かつひこ）,ハロー,1980/11/30,,岡山県真庭郡勝山町（現・真庭市）,A型,,大阪弁,奈良産業大学経済学部経済学科卒業,,NSC大阪校25期,2017/1/1,,https://twitter.com/@hello551130ueda,,,35
ばんきんや,,,,,,O型,,,中央大学,,東京都,2017/1/1,,,,,11
パンチユーホー,小林 俊太 (こばやし しゅんた),,1967/1/12,,福岡県北九州市,B型,177cm,,駒澤大学,,,2016/1/1,,,,301,1
パンチ浜崎,,,,,,,,,,,東京都,1987/1/1,2018/1/1,https://web.archive.org/web/20080302173826/http://thepunch.laff.jp/blog/,,178,78
ハンディやしき,矢鋪 剛義（やしき たけのり）,,1977/8/23,,石川県能美市,A型,161㎝,,,,,1968/12/1,,,,337,37
ピークフォーム井出,,,,,,,,,,,スクールJCA16期 ワタナベコメディスクール8期,2017/1/1,,,,,19
ひーちゃん (お笑い芸人),長友ひとみ,,1984/6/12,,,B型,,,早稲田大学,,NSC東京校14期,1999/1/1,,https://blogs.yahoo.co.jp/heechan_blog,,,23
ビートきよし,兼子二郎 （かねこにろう）,きよしさん,1949/12/31,,山形県最上郡最上町,B型,173cm,山形弁,,深見千三郎 松鶴家千とせ コロムビア・ライト 松鶴家千代若・千代菊,浅草フランス座,1937/1/1,,http://office-kitano.co.jp/talentposts/10173,,78,78
ビートたけし,北野 武,たけちゃん、たけし、殿、世界のキタノ,1947/1/18,,日本,O型,168cm,江戸弁,明治大学工学部（現：理工学部）機械工学科除籍（のちに特別卒業認定）,深見千三郎（師匠） 松鶴家千代若・千代菊（門下）,浅草フランス座,2016/1/1,,https://takeshi-kitano.jp/,,90,90
ひーぷー,真栄平 仁（まえひら ひとし）,,1969/1/28,,沖縄県うるま市,A型,176 cm,,沖縄国際大学卒業,,,2017/1/1,,http://origin-oze.com/talent/74/,,388,88
ピカソ利光,横ヰ 利光,とっくん、ピカちゃん,1984/12/21,,静岡県沼津市,A型,171cm,標準語,慶應義塾大学中退,,NSC東京校7期,1934/1/1,,https://451.theblog.me/,,353,53
ビク・トリア,,,,,,,,,,,ラジオのオーディション番組,1948/1/1,,,,193,93
ひぐち君,,,,,,,,,,,NSC東京校3期（山田）,1989/1/1,1992/1/1,https://www.sunmusic-gp.co.jp/talent/higedanshaku/,,231,31
ピクニック (お笑い芸人),藤井 章永（ふじい あきひさ）,ピク兄 音肉,1981/6/29,,東京都武蔵村山市,A型,,,,,NSC東京校6期,2010/1/11,2012/1/18,https://web.archive.org/web/20080207045728/http://picnic.laff.jp/,,278,78
ヒコロヒー,,,1989/10/15,,愛媛県,AB型,165cm,,,,松竹芸能大阪養成所,2011/1/1,2014/1/1,https://www.shochikugeino.co.jp/talents/hikorohi,https://www.youtube.com/channel/UCbkyB57Ccb3KkHsgU3lJ39A,,32
ぴっかり高木,髙木暁生（たかきあきお）,,1973/3/6,,大阪府,,157cm,,キャットミュージックカレッジ,,インディーズ,1990/1/1,1999/1/1,https://blogs.yahoo.co.jp/pikkari_blog,,80,80
ビックリツカサ,,,,,,,,,,,,2002/1/1,2006/1/11,,,381,81
ヒデ (お笑い芸人),中川 秀樹（なかがわ ひでき）,サッカーばか蔵,1971/4/7,,千葉県船橋市,O型,175cm,共通語,専修大学法学部,,,2016/1/1,2018/1/1,,,396,96
ビトタケシ,庄司 直人,,1963/2/17,,東京都,O型,165cm,共通語,,,,2017/1/1,,,,,41
